<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,20150310,0,61.5977
USDRUB,D,20150311,0,61.5538
USDRUB,D,20150312,0,61.0174
USDRUB,D,20150313,0,61.9783
USDRUB,D,20150314,0,62.0933
USDRUB,D,20150315,0,62.2962
USDRUB,D,20150316,0,61.8797
USDRUB,D,20150317,0,61.4195
USDRUB,D,20150318,0,59.0532
USDRUB,D,20150319,0,59.7618
USDRUB,D,20150320,0,59.2713
USDRUB,D,20150321,0,59.254
USDRUB,D,20150322,0,59.3083
USDRUB,D,20150323,0,58.4008
USDRUB,D,20150324,0,57.5972
USDRUB,D,20150325,0,57.2941
USDRUB,D,20150326,0,57.2348
USDRUB,D,20150327,0,57.2429
USDRUB,D,20150328,0,57.8036
USDRUB,D,20150329,0,57.9259
USDRUB,D,20150330,0,57.4945
USDRUB,D,20150331,0,58.0886
USDRUB,D,20150401,0,57.5071
USDRUB,D,20150402,0,56.4701
USDRUB,D,20150403,0,56.2703
USDRUB,D,20150404,0,56.7756
USDRUB,D,20150405,0,57.0332
USDRUB,D,20150406,0,55.3166
USDRUB,D,20150407,0,54.8641
USDRUB,D,20150408,0,53.6066
USDRUB,D,20150409,0,51.9002
USDRUB,D,20150410,0,52.8387
USDRUB,D,20150411,0,53.2353
USDRUB,D,20150412,0,53.51
USDRUB,D,20150413,0,51.9392
USDRUB,D,20150414,0,50.6562
USDRUB,D,20150415,0,48.5835
USDRUB,D,20150416,0,49.6987
USDRUB,D,20150417,0,51.436
USDRUB,D,20150418,0,52.657
USDRUB,D,20150419,0,52.0867
USDRUB,D,20150420,0,53.036
USDRUB,D,20150421,0,53.1543
USDRUB,D,20150422,0,52.0902
USDRUB,D,20150423,0,50.4978
USDRUB,D,20150424,0,50.1832
USDRUB,D,20150425,0,50.942
USDRUB,D,20150426,0,50.5557
USDRUB,D,20150427,0,51.8801
USDRUB,D,20150428,0,51.1732
USDRUB,D,20150429,0,50.6775
USDRUB,D,20150430,0,51.4814
USDRUB,D,20150501,0,51.0801
USDRUB,D,20150502,0,51.798
USDRUB,D,20150503,0,51.7264
USDRUB,D,20150504,0,52.0432
USDRUB,D,20150505,0,50.5526
USDRUB,D,20150506,0,50.9843
USDRUB,D,20150507,0,49.947
USDRUB,D,20150508,0,50.9739
USDRUB,D,20150509,0,50.9339
USDRUB,D,20150510,0,51.0526
USDRUB,D,20150511,0,51.4511
USDRUB,D,20150512,0,50.7557
USDRUB,D,20150513,0,48.9644
USDRUB,D,20150514,0,49.95
USDRUB,D,20150515,0,49.4851
USDRUB,D,20150516,0,49.39
USDRUB,D,20150517,0,49.4982
USDRUB,D,20150518,0,49.1285
USDRUB,D,20150519,0,49.645
USDRUB,D,20150520,0,49.8295
USDRUB,D,20150521,0,49.9775
USDRUB,D,20150522,0,49.88
USDRUB,D,20150523,0,49.9551
USDRUB,D,20150524,0,49.9857
USDRUB,D,20150525,0,49.8495
USDRUB,D,20150526,0,50.7208
USDRUB,D,20150527,0,51.5495
USDRUB,D,20150528,0,52.6595
USDRUB,D,20150529,0,52.285
USDRUB,D,20150530,0,52.4099
USDRUB,D,20150531,0,51.9659
USDRUB,D,20150601,0,53.41
USDRUB,D,20150602,0,52.7773
USDRUB,D,20150603,0,54.338
USDRUB,D,20150604,0,55.96
USDRUB,D,20150605,0,56.115
USDRUB,D,20150606,0,56.372
USDRUB,D,20150607,0,56.4065
USDRUB,D,20150608,0,55.632
USDRUB,D,20150609,0,55.2835
USDRUB,D,20150610,0,54.3105
USDRUB,D,20150611,0,54.7603
USDRUB,D,20150612,0,54.7963
USDRUB,D,20150613,0,55.1238
USDRUB,D,20150614,0,55.1679
USDRUB,D,20150615,0,54.4795
USDRUB,D,20150616,0,53.7845
USDRUB,D,20150617,0,53.56
USDRUB,D,20150618,0,53.372
USDRUB,D,20150619,0,54.12
USDRUB,D,20150620,0,54.1242
USDRUB,D,20150621,0,54.2124
USDRUB,D,20150622,0,53.9344
USDRUB,D,20150623,0,53.7094
USDRUB,D,20150624,0,54.365
USDRUB,D,20150625,0,54.5964
USDRUB,D,20150626,0,54.216
USDRUB,D,20150627,0,54.934
USDRUB,D,20150628,0,55.4364
USDRUB,D,20150629,0,55.6259
USDRUB,D,20150630,0,55.2282
USDRUB,D,20150701,0,55.7225
USDRUB,D,20150702,0,55.2716
USDRUB,D,20150703,0,55.9064
USDRUB,D,20150704,0,55.9369
USDRUB,D,20150705,0,56.004
USDRUB,D,20150706,0,56.5472
USDRUB,D,20150707,0,56.5131
USDRUB,D,20150708,0,57.3735
USDRUB,D,20150709,0,57.0967
USDRUB,D,20150710,0,55.6597
USDRUB,D,20150711,0,56.3646
USDRUB,D,20150712,0,56.4485
USDRUB,D,20150713,0,56.1933
USDRUB,D,20150714,0,56.2788
USDRUB,D,20150715,0,56.7584
USDRUB,D,20150716,0,56.8443
USDRUB,D,20150717,0,56.4233
USDRUB,D,20150718,0,56.9566
USDRUB,D,20150719,0,57.0191
USDRUB,D,20150720,0,56.7774
USDRUB,D,20150721,0,56.9401
USDRUB,D,20150722,0,57.1107
USDRUB,D,20150723,0,57.694
USDRUB,D,20150724,0,57.583
USDRUB,D,20150725,0,58.4437
USDRUB,D,20150726,0,58.4195
USDRUB,D,20150727,0,59.0954
USDRUB,D,20150728,0,59.8098
USDRUB,D,20150729,0,57.8594
USDRUB,D,20150730,0,59.5371
USDRUB,D,20150731,0,61.2897
USDRUB,D,20150801,0,61.4746
USDRUB,D,20150802,0,61.723
USDRUB,D,20150803,0,63.1682
USDRUB,D,20150804,0,62.4044
USDRUB,D,20150805,0,63.2031
USDRUB,D,20150806,0,63.7899
USDRUB,D,20150807,0,63.6169
USDRUB,D,20150808,0,63.9906
USDRUB,D,20150809,0,64.0285
USDRUB,D,20150810,0,62.8782
USDRUB,D,20150811,0,64.0268
USDRUB,D,20150812,0,63.8469
USDRUB,D,20150813,0,64.4923
USDRUB,D,20150814,0,63.9434
USDRUB,D,20150815,0,64.7814
USDRUB,D,20150816,0,65.3193
USDRUB,D,20150817,0,65.1406
USDRUB,D,20150818,0,65.6348
USDRUB,D,20150819,0,66.4809
USDRUB,D,20150820,0,67.1164
USDRUB,D,20150821,0,68.0658
USDRUB,D,20150822,0,68.9287
USDRUB,D,20150823,0,68.8191
USDRUB,D,20150824,0,70.5079
USDRUB,D,20150825,0,68.7685
USDRUB,D,20150826,0,68.568
USDRUB,D,20150827,0,65.0459
USDRUB,D,20150828,0,64.5774
USDRUB,D,20150829,0,65.3138
USDRUB,D,20150830,0,65.5712
USDRUB,D,20150831,0,64.1353
USDRUB,D,20150901,0,66.0548
USDRUB,D,20150902,0,66.4717
USDRUB,D,20150903,0,66.4345
USDRUB,D,20150904,0,68.0159
USDRUB,D,20150905,0,68.2268
USDRUB,D,20150906,0,68.481
USDRUB,D,20150907,0,67.977
USDRUB,D,20150908,0,67.636
USDRUB,D,20150909,0,68.1701
USDRUB,D,20150910,0,67.5457
USDRUB,D,20150911,0,66.9887
USDRUB,D,20150912,0,67.8055
USDRUB,D,20150913,0,67.7834
USDRUB,D,20150914,0,67.3716
USDRUB,D,20150915,0,66.4661
USDRUB,D,20150916,0,65.2304
USDRUB,D,20150917,0,64.7601
USDRUB,D,20150918,0,67.3945
USDRUB,D,20150919,0,66.3195
USDRUB,D,20150920,0,66.37
USDRUB,D,20150921,0,65.8742
USDRUB,D,20150922,0,65.7529
USDRUB,D,20150923,0,66.4526
USDRUB,D,20150924,0,65.8051
USDRUB,D,20150925,0,64.5373
USDRUB,D,20150926,0,65.5077
USDRUB,D,20150927,0,65.2908
USDRUB,D,20150928,0,65.7036
USDRUB,D,20150929,0,65.8031
USDRUB,D,20150930,0,65.1214
USDRUB,D,20151001,0,64.4306
USDRUB,D,20151002,0,65.2185
USDRUB,D,20151003,0,66.1216
USDRUB,D,20151004,0,65.9899
USDRUB,D,20151005,0,64.024
USDRUB,D,20151006,0,62.7585
USDRUB,D,20151007,0,62.258
USDRUB,D,20151008,0,61.3222
USDRUB,D,20151009,0,61.0658
USDRUB,D,20151010,0,61.655
USDRUB,D,20151011,0,61.8383
USDRUB,D,20151012,0,61.0899
USDRUB,D,20151013,0,62.7569
USDRUB,D,20151014,0,62.5304
USDRUB,D,20151015,0,60.9981
USDRUB,D,20151016,0,60.9906
USDRUB,D,20151017,0,61.4006
USDRUB,D,20151018,0,61.5709
USDRUB,D,20151019,0,62.2773
USDRUB,D,20151020,0,62.0168
USDRUB,D,20151021,0,63.494
USDRUB,D,20151022,0,63.0253
USDRUB,D,20151023,0,62.2668
USDRUB,D,20151024,0,62.39
USDRUB,D,20151025,0,62.3204
USDRUB,D,20151026,0,62.7198
USDRUB,D,20151027,0,64.9696
USDRUB,D,20151028,0,63.5556
USDRUB,D,20151029,0,63.8906
USDRUB,D,20151030,0,63.7587
USDRUB,D,20151031,0,63.8312
USDRUB,D,20151101,0,64.2648
USDRUB,D,20151102,0,63.0559
USDRUB,D,20151103,0,62.5426
USDRUB,D,20151104,0,63.1101
USDRUB,D,20151105,0,63.3656
USDRUB,D,20151106,0,64.4368
USDRUB,D,20151107,0,64.5243
USDRUB,D,20151108,0,63.4433
USDRUB,D,20151109,0,64.5885
USDRUB,D,20151110,0,64.4956
USDRUB,D,20151111,0,65.5108
USDRUB,D,20151112,0,66.4715
USDRUB,D,20151113,0,66.7681
USDRUB,D,20151114,0,66.8118
USDRUB,D,20151115,0,65.843
USDRUB,D,20151116,0,65.2974
USDRUB,D,20151117,0,65.1664
USDRUB,D,20151118,0,64.7128
USDRUB,D,20151119,0,64.5056
USDRUB,D,20151120,0,64.7068
USDRUB,D,20151121,0,64.6707
USDRUB,D,20151122,0,65.8408
USDRUB,D,20151123,0,65.8046
USDRUB,D,20151124,0,65.4203
USDRUB,D,20151125,0,65.5031
USDRUB,D,20151126,0,65.8465
USDRUB,D,20151127,0,66.3768
USDRUB,D,20151128,0,66.3405
USDRUB,D,20151129,0,66.6449
USDRUB,D,20151130,0,66.2676
